,Brand,Transmission,Fuel,Kms,Price,year
0,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
1,2016 Maruti Swift,Manual,Petrol,"58,818 km","4,07,599",2016
2,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
3,2018 Maruti Vitara Brezza,Manual,Diesel,"71,192 km","6,74,099",2018
4,2014 Maruti Swift Dzire,Manual,Diesel,"55,542 km","3,43,799",2014
5,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
6,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
7,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
8,2014 Maruti Swift Dzire,Manual,Diesel,"96,978 km","4,16,399",2014
9,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
10,2014 Maruti Alto K10,Manual,Petrol,"40,562 km","2,87,299",2014
11,2019 Maruti Alto K10,Manual,Petrol,"10,395 km","4,27,199",2019
12,2013 Maruti Swift,Manual,Diesel,"1,14,506 km","3,30,499",2013
13,2014 Hyundai i20,Manual,Diesel,"72,216 km","3,95,599",2014
14,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
15,-,-,-,-,-,-
16,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
17,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
18,2015 Maruti Swift,Manual,Diesel,"18,206 km","3,97,699",2015
19,2013 Maruti Swift,Manual,Diesel,"65,561 km","3,32,699",2013
20,2015 Honda Amaze,Manual,Petrol,"69,906 km","4,67,499",2015
21,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
22,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
23,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
24,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
25,2019 Tata Tiago,Manual,Petrol,"19,172 km","5,14,499",2019
26,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
27,2017 Hyundai Grand i10,Manual,Petrol,"35,134 km","5,01,699",2017
28,2014 Maruti Swift Dzire,Manual,Diesel,"1,08,818 km","4,17,799",2014
29,2019 Hyundai NEW SANTRO,Manual,Petrol,"5,503 km","5,16,799",2019
30,2015 Maruti Swift,Manual,Petrol,"11,026 km","4,52,599",2015
31,-,-,-,-,-,-
32,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
33,2013 Maruti Swift,Manual,Petrol,"65,080 km","4,10,699",2013
34,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
35,2017 Maruti Swift,Manual,Diesel,"97,591 km","5,09,199",2017
36,2019 Honda City,Manual,Petrol,"17,133 km","9,14,399",2019
37,2014 Hyundai New Elantra,Manual,Diesel,"53,444 km","5,83,999",2014
38,2013 Hyundai New Elantra,Manual,Diesel,"47,959 km","6,60,999",2013
39,2013 BMW 5 Series,Automatic,Diesel,"46,477 km","18,17,799",2013
40,2016 Mahindra Scorpio,Manual,Diesel,"51,588 km","8,75,899",2016
41,2019 Hyundai VENUE,Manual,Petrol,"31,118 km","8,67,899",2019
42,2015 Maruti Swift,Manual,Diesel,"46,168 km","4,16,499",2015
43,2020 Ford Ecosport,Manual,Diesel,"32,965 km","7,68,199",2020
44,2020 Maruti Alto,Manual,Petrol,"13,235 km","3,67,299",2020
45,2015 Hyundai Creta,Automatic,Diesel,"72,344 km","8,54,099",2015
46,2019 Hyundai NEW SANTRO,Automatic,Petrol,"16,945 km","5,50,199",2019
47,2013 Ford Ecosport,Manual,Diesel,"85,274 km","4,29,599",2013
48,-,-,-,-,-,-
49,2014 Honda Amaze,Automatic,Petrol,"31,538 km","4,75,099",2014
50,2017 Hyundai Creta,Manual,Diesel,"77,578 km","8,67,799",2017
51,2015 Ford Ecosport,Manual,Diesel,"43,310 km","5,10,399",2015
52,2014 Maruti Swift Dzire,Manual,Diesel,"56,467 km","3,49,899",2014
